MPN,Manufacturer,ADC Channels,ADC Resolution,CAN,Core Architecture,Data Bus Width,Device Core,Ethernet,Family,Family Name,I2C,I2S,Instruction Set Architecture,Interface Type,Maximum CPU Frequency,Maximum Clock Rate,Maximum Operating Supply Voltage,Maximum Operating Temperature,Minimum Operating Supply Voltage,Minimum Operating Temperature,Mounting,Number of ADCs,Number of Programmable I/Os,Number of Timers,Operating Supply Voltage,PACKAGE_DIMENSION_H,PACKAGE_DIMENSION_L,PACKAGE_DIMENSION_W,PCB,Pin count,Program Memory Size,Program Memory Type,RAM Size,SPI,Supplier_Package,Temperature Flag,Typical Operating Supply Voltage,UART,USART,USB
10018,20,-0.6628771812333657,-0.8917314965279457,-0.6438662206807385,Not Mentioned,-1.535025809011061,740,-0.3323113569303488,M38K00F4,740,-1.0025285503038603,-0.4065394061475348,CISC,UART/USB,-0.9216941842935135,-0.9217831901819941,0.5296967169925496,-0.6877328929201212,1.368019734029244,1.9607485583984452,Surface Mount,Single,-0.31506671305571576,-0.7361474282672413,1.0186706188986463,0.08573880342504497,0.43309570292607114,0.4550967899285608,-0.3618907916011131,-0.3618907916011131,-0.5467233279156646,Flash,-0.4350086631705718,-0.9751894556854735,LQFP,Opr,1.025958285142546,-0.28950235350790327,-0.5222610185967211,1.1316571492720788
9095,20,-0.6628771812333657,-2.110609637590878,-0.6438662206807385,Not Mentioned,-1.535025809011061,740,-0.3323113569303488,M38749MC,740,-1.0025285503038603,-0.4065394061475348,CISC,UART,-1.0068330871998907,-1.006924822385964,0.7185487061600608,-0.6877328929201212,0.29077589648921714,-0.32214192765191607,Surface Mount,Single,0.4063773143317488,-0.18698673655550482,1.0186706188986463,3.296593549808756,0.43309570292607114,0.4550967899285608,-0.017908684761815792,-0.017908684761815792,-0.5068683159154577,ROM,-0.4264872983785545,-0.9751894556854735,PQFP,Opr,1.025958285142546,-0.28950235350790327,-0.5222610185967211,-0.6919116402698817
16858,20,-0.6628771812333657,0.32714664453498676,0.6929401483164304,RX,0.6549669107908276,RX,2.6293882315160997,R5F566N,Not Mentioned,0.7844504602859611,-0.4065394061475348,RISC,CAN/Ethernet/I2C/SCI/SPI/USB,0.7202703717580466,0.7202340023231395,-0.7167264115130249,0.5509478073154576,-0.03239725477279065,-0.32214192765191607,Surface Mount,Dual,0.5867383211786149,0.6367543010121,-0.9249118247573919,0.08573880342504497,0.43309570292607114,0.4550967899285608,0.4120689487873058,0.4120689487873058,4.534790702110717,Flash,4.378387083658216,1.101276713654659,LFQFP,Opr,-0.927539214449274,-0.7781608843679068,-0.5222610185967211,1.1316571492720788
11120,9,1.8509043251483865,0.32714664453498676,1.3613433328150149,Not Mentioned,0.6549669107908276,FR81S,-0.3323113569303488,MB91F524K,FR,-0.40686888010725325,-0.4065394061475348,RISC,CAN/I2C/SPI/UART,0.11213535099820954,0.11207948658049745,0.7185487061600608,1.7896285075510363,-0.03239725477279065,-0.32214192765191607,Surface Mount,Dual,1.8492653691066778,-0.46156708241137306,1.0186706188986463,0.08573880342504497,1.5989732606284635,1.6040789688711616,1.3580197425953735,1.3580197425953735,0.07102935808754257,Flash,-0.09738631330754284,-0.45607291335044037,LQFP,Opr,1.025958285142546,-0.28950235350790327,-0.5222610185967211,-0.6919116402698817
14295,16,-0.6628771812333657,0.32714664453498676,0.024536963817845984,Not Mentioned,0.6549669107908276,56800 EX,-0.3323113569303488,PC56F82713,MPC56xx,-0.40686888010725325,-0.4065394061475348,RISC,CAN/I2C/SPI,0.41620286137812806,0.41615674445181844,-0.7167264115130249,0.5509478073154576,-0.03239725477279065,-0.32214192765191607,Surface Mount,Dual,-0.1347057062088496,-1.0107277741231095,-0.9249118247573919,0.20041218722446302,-0.3441560022088571,-0.31089132936650654,-0.3618907916011131,-0.3618907916011131,-0.5467233279156646,Flash,-0.3982786425153249,0.06304362898459279,LQFP,Opr,1.0206201894562403e-15,-0.7781608843679068,-0.5222610185967211,-0.6919116402698817
25689,27,-0.03443180463792764,0.32714664453498676,0.024536963817845984,C28x,0.6549669107908276,C28x,-0.3323113569303488,TMS320F28031,Piccolo F2803x,-0.40686888010725325,-0.4065394061475348,RISC,CAN/I2C/SPI/UART,-0.19193215938170902,-0.19199777129082357,-0.6940641728129237,0.5509478073154576,0.2584585813630166,-0.32214192765191607,Surface Mount,Single,-0.7659692301728811,-0.7361474282672413,-0.9249118247573919,-0.7169748831708829,-0.3052934169521302,-0.27259192340177235,-0.3618907916011131,-0.3618907916011131,-0.4869408099153542,Flash,-0.36066710136435215,-0.45607291335044037,TQFP,Jun,-0.927539214449274,-0.28950235350790327,-0.5222610185967211,-0.6919116402698817
11375,9,1.8509043251483865,-0.8917314965279457,1.3613433328150149,Not Mentioned,0.6549669107908276,FR81S,-0.3323113569303488,MB91F592BS,MB91590,-1.0025285503038603,-0.4065394061475348,RISC,CAN/USART,0.11213535099820954,0.11207948658049745,0.7185487061600608,0.5509478073154576,1.9066416527992571,-0.32214192765191607,Surface Mount,Single,-2.1359033871569737e-16,-0.46156708241137306,1.0186706188986463,0.4297589548232996,3.1534766708983204,3.136055207461297,2.7339481699525625,2.7339481699525625,0.23044940608837022,Flash,-0.21022093676046114,-0.9751894556854735,LQFP,Opr,1.025958285142546,-0.7781608843679068,4.516394298716395,-0.6919116402698817
4811,16,0.17504998756055173,0.32714664453498676,1.3613433328150149,ARM,0.6549669107908276,ARM Cortex M4F,-0.3323113569303488,FS32K144,Not Mentioned,-0.40686888010725325,-0.4065394061475348,RISC,CAN/I2C/SPI/UART,0.11213535099820954,0.11207948658049745,0.7185487061600608,0.5509478073154576,-0.03239725477279065,-0.32214192765191607,Surface Mount,Dual,0.9174001670645362,0.08759360930036343,1.0186706188986463,0.20041218722446302,-0.3441560022088571,-0.31089132936650654,-0.3618907916011131,-0.3618907916011131,0.07102935808754257,Flash,-0.11619208388302922,0.5821601713196259,LQFP,Opr,1.025958285142546,0.6878147082121037,-0.5222610185967211,-0.6919116402698817
20896,23,0.17504998756055173,0.32714664453498676,0.6929401483164304,e200,0.6549669107908276,e200z4d,-0.3323113569303488,SPC56EL60L3,MPC56xx,-1.0025285503038603,-0.4065394061475348,RISC,CAN/SCI/SPI,0.7202703717580466,0.7202340023231395,0.7185487061600608,1.7896285075510363,1.9066416527992571,-0.32214192765191607,Surface Mount,Dual,-1.2769920829056685,-0.18698673655550482,1.0186706188986463,0.08573880342504497,0.43309570292607114,0.4550967899285608,0.4120689487873058,0.4120689487873058,0.7087095500908532,Flash,0.1658944747492665,0.5821601713196259,LQFP,Opr,1.025958285142546,-0.28950235350790327,-0.5222610185967211,-0.6919116402698817
17472,20,-1.1865816617295641,0.32714664453498676,1.3613433328150149,RX,0.6549669107908276,RX,5.5910878199625484,R5F572MNH,Not Mentioned,0.1887907900893539,-0.4065394061475348,RISC,CAN/Ethernet/I2C/SCI/SPI/USB,2.5446754340375577,2.5446975495510658,-0.7167264115130249,0.5509478073154576,-0.03239725477279065,-0.32214192765191607,Surface Mount,Dual,0.4063773143317488,1.735075684435573,-0.9249118247573919,0.08573880342504497,0.43309570292607114,0.4550967899285608,0.4120689487873058,0.4120689487873058,4.534790702110717,Flash,4.378387083658216,-0.45607291335044037,LFQFP,Opr,-0.927539214449274,-0.7781608843679068,-0.5222610185967211,1.1316571492720788
